iter	Passed	Remaining
0	114	22705
1	231	22903
2	339	22279
3	447	21925
4	558	21786
5	672	21746
6	795	21943
7	911	21875
8	1024	21745
9	1134	21546
10	1243	21368
11	1347	21113
12	1464	21071
13	1566	20816
14	1670	20603
15	1773	20396
16	1878	20224
17	1978	20002
18	2084	19855
19	2194	19754
20	2280	19437
21	2380	19260
22	2476	19057
23	2566	18820
24	2661	18633
25	2767	18519
26	2863	18346
27	2951	18128
28	3045	17956
29	3137	17777
30	3230	17610
31	3324	17453
32	3420	17309
33	3515	17163
34	3605	16995
35	3695	16833
36	3779	16651
37	3878	16534
38	3971	16394
39	4080	16322
40	4180	16213
41	4278	16093
42	4548	16608
43	4684	16609
44	4860	16741
45	4975	16655
46	5063	16484
47	5215	16514
48	5329	16423
49	5794	17383
50	7330	21416
51	7545	21475
52	7713	21393
53	7819	21140
54	7917	20873
55	8011	20601
56	8112	20352
57	8194	20062
58	8287	19806
59	8373	19538
60	8473	19307
61	8550	19031
62	8638	18784
63	8733	18559
64	8827	18333
65	8907	18084
66	9003	17873
67	9097	17660
68	9169	17409
69	9271	17218
70	9358	17002
71	9455	16810
72	9563	16637
73	9667	16461
74	9756	16260
75	9858	16085
76	9970	15927
77	10057	15730
78	10150	15547
79	10234	15351
80	10321	15164
81	10414	14986
82	10499	14800
83	10596	14633
84	10681	14451
85	10774	14282
86	10871	14120
87	10956	13944
88	11034	13762
89	11123	13595
90	11218	13437
91	11313	13281
92	11396	13111
93	11488	12955
94	11569	12787
95	11696	12670
96	11851	12585
97	11954	12442
98	12108	12353
99	12239	12239
100	13083	12824
101	13418	12892
102	14043	13225
103	14396	13289
104	14610	13219
105	14831	13152
106	14985	13024
107	15222	12967
108	15346	12812
109	15432	12626
110	15529	12451
111	15619	12272
112	15710	12095
113	15813	11929
114	15894	11747
115	16012	11595
116	16107	11426
117	16227	11277
118	16360	11136
119	16452	10968
120	16535	10795
121	16873	10788
122	17128	10722
123	17263	10580
124	17466	10480
125	17580	10324
126	17730	10191
127	17857	10044
128	17977	9894
129	18421	9919
130	18928	9969
131	19116	9848
132	19259	9702
133	19733	9719
134	21115	10166
135	22032	10368
136	22494	10344
137	22692	10195
138	22822	10015
139	22930	9827
140	23033	9638
141	23127	9446
142	23262	9272
143	23446	9118
144	23594	8949
145	23704	8767
146	23820	8588
147	23953	8416
148	24052	8232
149	24146	8048
150	24252	7870
151	24375	7697
152	24502	7526
153	24625	7355
154	24737	7181
155	24854	7010
156	25016	6851
157	25363	6742
158	25529	6583
159	25680	6420
160	25831	6257
161	25982	6094
162	26114	5927
163	26274	5767
164	26394	5598
165	26532	5434
166	26705	5277
167	26808	5106
168	26910	4936
169	27036	4771
170	27140	4602
171	27253	4436
172	27365	4270
173	27468	4104
174	27602	3943
175	27714	3779
176	27842	3617
177	27946	3454
178	28052	3291
179	28148	3127
180	28267	2967
181	28423	2811
182	28615	2658
183	28741	2499
184	28863	2340
185	29002	2182
186	29162	2027
187	29646	1892
188	30131	1753
189	31327	1648
190	31766	1496
191	31962	1331
192	32145	1165
193	32255	997
194	32401	830
195	32523	663
196	32650	497
197	32780	331
198	32897	165
199	33008	0
